,,Código,, Descrição,NCM,,ICMS,,Unid.,,QTD.,,Vlr Unit.,,,Vlr.Total
,86335,, NEOGERMINA 2BILHOES 10FLAC 5ML,,,21069030,,Subs. Trib,,UN,,14,,25,350,
,86368,, NEOGERMINA 4BILHOES 5FLAC 5ML,,,21069030,,Subs. Trib,,UN,,6,,25.3,151.8,
,44140,, NEOLEFRIN 20CP,,,30049069,,Subs. Trib,,UN,,5,,7.66,38.3,
,84004,, NEOLEFRIN DIA 20CP,,,30049099,,Subs. Trib,,UN,,7,,6.89,48.23,
,44099,, NEOLEFRIN XPE 60ML,,,30049099,,Subs. Trib,,UN,,3,,9.29,27.87,
,86617,, NEOMICINA+BACIT POM DERM 10G,,,30049099,,Subs. Trib,,UN,,1,,3.83,3.83,
,57406,, NEOMICINA+BACIT POM DERM 15G,,,30042069,,Subs. Trib,,UN,,1,,3.94,3.94,
,44149,, NEOPIRIDIN SPR 50ML,,,30049069,,Subs. Trib,,UN,,3,,13.11,39.33,
,85431,, NEOSALDINA 20DRG,,,30049099,,Subs. Trib,,UN,,1,,23.02,23.02,
,41734,, NEOSALDINA 30DRG,,,30049099,,Subs. Trib,,UN,,1,,23.18,23.18,
,86207,, NEOSALDINA DIP 1G 10CP,,,30049099,,Subs. Trib,,UN,,1,,14.7,14.7,
,88905,, NEOSALDINA DIP 1G 20CP,,,30049099,,Subs. Trib,,UN,,1,,30.55,30.55,
,88729,, NEOSALDINA MUSC 20CP REV,,,30049099,,Subs. Trib,,UN,,3,,11.43,34.29,
,88906,, NEOSALDINA MUSC 30CP REV,,,30049099,,Subs. Trib,,UN,,2,,16.76,33.52,
,85371,," NEOSORO 0,5MG/ML GTS NAS 30ML",,,30049099,,Subs. Trib,,UN,,30,,4.36,130.8,
,44043,, NEOTOSS 3MG/ML XPE AD 100ML,,,30049069,,Subs. Trib,,UN,,6,,9.15,54.9,
,44044,," NEOTOSS 7,5 MG/5 ML XPE PED 60",,,30049069,,Subs. Trib,,UN,,7,,8.12,56.84,
,86442,, NEOVLAR 63DRG,,,30066000,,Subs. Trib,,UN,,4,,7.49,29.96,
,88502,, NEROLOM KIDS LIQ 240ML,,,21069030,,Subs. Trib,,UN,,2,,16.99,33.98,
,88501,, NEROLOM LARANJA LIQ 480ML,,,21069030,,Subs. Trib,,UN,,1,,28.9,28.9,
,52705,," NEUTOSS 0,48MG/ML XPE 100ML",,,30049039,,Subs. Trib,,UN,,2,,5.02,10.04,
,17901,, NEUTROFER 250MG/ML GTS 30ML,,,30049019,,Subs. Trib,,UN,,2,,54.63,109.26,
,17903,, NEUTROFER 300MG 30CP,,,30049019,,Subs. Trib,,UN,,1,,52.31,52.31,
,17899,, NEUTROFER 500MG 30CP REV,,,30049019,,Subs. Trib,,UN,,2,,75.84,151.68,
,17908,, NEUTROFER FOLICO 30CP REV,,,30049019,,Subs. Trib,,UN,,1,,38.24,38.24,
,36965,, NEVRIX 20CP REV,,,30049099,,Subs. Trib,,UN,,1,,60.65,60.65,
,36966,, NEVRIX SOL INJ IM 3AMP 2ML,,,30049099,,Subs. Trib,,UN,,4,,21.93,87.72,
,85197,, NEXFLEN 550MG 10CP REV,,,30049099,,Subs. Trib,,UN,,23,,11.43,262.89,
,45328,, NIFEDIPRESS RET 20MG 30CP REV,,,30049099,,Subs. Trib,,UN,,2,,5.49,10.98,
,54842,, NIMELIT 50MG/ML GTS 15ML,,,30049079,,Subs. Trib,,UN,,5,,2,10,
