,,DROGAMAIS - >> DROGAMAIS - CENTRAL,,,,,,,,,,,,,Data:,,,,,,,,04/11/2026,,,,,
,,Grupo Filial:,,,, TODOS OS GRUPOS,,,,,,,,,Hora:,,,,,,,,01/01/1970 19:31:53,,,,,
,,Filial:,,,, >> DROGAMAIS - PARQUE SOLEDADE,,,,,,,,,Seleção I:,,(ESTOQUE MENOR QUE O ESTOQUE MÍNIMO),,,,,,,,,,,
,,Forne.:,,,, TODOS,,,,,,,,,Seleção II:,,Reposição de Vendas,,,,,,,,,,,
,,Grupo Prod.:,,,, VÁRIOS,,,,,,,,,Seleção III:,,Vendas,,,,,,,,,,,
,,Labor.:,,,, TODOS,,,,,,,,,Seleção IV:,,Considerar Saldo em Estoque,,,,,,,,,,,
,,Categoria:,,,, TODOS,,,,,,,,,Seleção V:,,Pré-Pedido por Filial,,,,,,,,,,,
,,Departamento:,,,, TODOS,,,,,,,,,,,,,,,,,,,,,,
,,DCB:,,,, TODOS,,,,,,,,,,,,,,,,,,,,,,
,,Produto:,,,, TODOS,,,,,,,,,Período:,,04/04/2026 00:00:00 à 11/04/2026 23:59:59,,,,,,,,,,,
,,SUGESTÃO DE COMPRAS - Pelas Vendas no Período,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Saldo,,,,,,,,,,,,,,,,,,
,,Cód., Produto,,,,Labor.,"Grupo/
Curva",Saldo,Estoq,Est.,Dem.,Qtd.,Qtd.,Fat,Forn.,Custo,Custo,,Últimas Saídas,,,    Última Entrada,,,,,P
,,,,,,,,,Estoq,Rede,Mín.,,Vend.,Comp.,,,Unit.,Total,,Mês 0,Mês 1,Mês 2,Data,Custo,,Forn.,,
,,Filial:,,,, >> DROGAMAIS - PARQUE SOLEDADE,,,,,,,,,,,,,,,,,,,,,,
,,Grupo:,,,GENERICOS,,,,,,,,,,,,,,,,,,,,,,,
,,87303,BETAM+GENT+TOL+CLIO CR 20G,,,,UNIAO ,4000/,2,2,0,0,1,1,1,,9.34,9.34,,,,,,,,,,
,,88901,BILASTINA 20MG 15CP,,,,ACHE/BIOSINT,4000/,0,0,0,0,1,1,1,,21.72,21.72,,,,,,,,,,
,,86510,BILASTINA 20MG 30CP,,,,NEO QUIMICA,4000/,1,6,0,0,1,1,1,,40.09,40.09,,,,,,,,,,
,,85963,BRIMONIDINA 2MG/ML COL 5ML,,,,TEUTO,4000/D,2,2,0,0,1,1,1,,11.49,11.49,,,,,,,,,,
,,57525,BROMOPRIDA 10MG 20CP,,,,PRATI ,4000/D,8,8,0,0,1,1,1,,8.56,8.56,,,,,,,,,,
,,57528,BROMOPRIDA 4MG/ML GTS 20ML,,,,PRATI ,4000/D,2,2,0,0,10,10,1,,6.22,62.2,,,,,,,,,,
,,86234,BRONFENIRAMINA+FENILEF 12CP,,,,NEO QUIMICA,4000/D,0,2,0,0,1,1,1,,13.14,13.14,,,,,,,,,,
,,86235,BRONFENIRAMINA+FENILEF GTS 20M,,,,NEO QUIMICA,4000/D,3,3,0,0,1,1,1,,7.62,7.62,,,,,,,,,,
,,30582,CAPTOPRIL 25MG 30CP,,,,TEUTO,4000/A,5,5,2,3,5,5,1,,1.46,7.3,,,,,,,,,,
,,84924,CAPTOPRIL 25MG 30CP,,,,GEOLAB,4000/A,8,8,2,3,2,2,1,,1.87,3.74,,,,,,,,,,
,,21922,CEFALEXINA 250MG/5ML LIQ 100ML,,,,UNIAO ,4000/,0,0,0,0,4,4,1,,11.48,45.92,,,,,,,,,,
,,30700,CEFALEXINA 250MG/5ML LIQ 100ML,,,,TEUTO,4000/A,4,12,1,1,4,4,1,,12.05,48.2,,,,,,,,,,
,,21964,CEFALEXINA 500MG 10CAP,,,,UNIAO ,4000/D,11,11,0,0,18,18,1,,7.64,137.52,,,,,,,,,,
,,13989,CEFTRIAXONA SOD 1G C/DIL FA,,,,EUROFARMA,4000/B,14,20,1,1,7,7,1,,14.49,101.43,,,,,,,,,,
,,76603,CETOC+BETAM CR DERM 30G,,,,GEOLAB,4000/D,1,1,0,0,1,1,1,,7.59,7.59,,,,,,,,,,
,,57381,CETOCONAZOL 200MG 10CP,,,,PRATI ,4000/D,0,0,0,0,1,1,1,,3.33,3.33,,,,,,,,,,
,,38320,CETOPROFENO 100MG 20CP REV,,,,MEDLEY / SANO,4000/A,0,1,2,2,4,4,1,,22.94,91.76,,,,,,,,,,
,,84715,CETOPROFENO 150MG 10CP L.P,,,,LEGRAND,4000/A,2,11,7,11,2,2,1,,7.64,15.28,,,,,,,,,,
,,87496,CETOPROFENO 150MG 10CP L.P,,,,NEO QUIMICA,4000/,7,7,0,0,13,13,1,,7.53,97.89,,,,,,,,,,
,,30756,CETOPROFENO 20MG/ML GTS 20ML,,,,TEUTO,4000/A,7,12,4,6,2,2,1,,3.07,6.14,,,,,,,,,,
,,13936,CETOPROFENO 20MG/ML GTS 20ML,,,,EUROFARMA,4000/D,1,1,0,0,2,2,1,,5.48,10.96,,,,,,,,,,
,,32505,CICLOBENZAPRINA 10 MG C/ 15 CP,,,,ACHE/BIOSINT,4000/D,11,12,0,0,4,4,1,,3.98,15.92,,,,,,,,,,
,,84025,CICLOBENZAPRINA 10MG 15CP REV,,,,GLOBO,4000/A,-1,0,6,9,4,4,1,,4.57,18.28,,,,,,,,,,
,,84026,CICLOBENZAPRINA 5MG 15CP REV,,,,GLOBO,4000/A,15,19,3,4,4,4,1,,2.84,11.36,,,,,,,,,,
,,21068,CICLOPIROX OL 10MG/ML SOL TOP,,,,EMS,4000/C,0,0,1,1,1,1,1,,10.5,10.5,,,,,,,,,,
,,85269,CIPROFIBRATO 100MG 30CP,,,,GLOBO,4000/B,6,6,1,2,1,1,1,,10.68,10.68,,,,,,,,,,
,,57408,CIPROFLOXACINO 500MG 14CP REV,,,,PRATI ,4000/D,2,2,0,0,13,13,1,,5.22,67.86,,,,,,,,,,
,,43771,"CLOBETASOL 0,5MG/G POM 30G",,,,NEO QUIMICA,4000/D,1,1,0,0,1,1,1,,7.38,7.38,,,,,,,,,,
,,51219,CLOPIDOGREL 75MG 28CP REV,,,,SANDOZ,4000/C,1,1,1,1,3,3,1,,15.89,47.67,,,,,,,,,,
,,43909,CLORIDRATO DE CIPROFLOXACINO 5,,,,NEO QUIMICA,4000/A,0,0,5,7,1,1,1,,7.27,7.27,,,,,,,,,,
,,87968,DESLORATADINA 5MG 10CP REV,,,,GLOBO,4000/,0,0,0,0,1,1,1,,6.07,6.07,,,,,,,,,,
,,17753,DESLORATADINA 5MG 10CP REV,,,,LEGRAND,4000/A,-1,0,1,2,1,1,1,,7.27,7.27,,,,,,,,,,
,,85905,DESLORATADINA XPE 60ML,,,,PRATI ,4000/D,6,6,0,0,8,8,1,,6.48,51.84,,,,,,,,,,
,,51391,DESOGESTREL 75MCG 28CP REV,,,,SANDOZ,4000/A,1,1,1,2,1,1,1,,7.83,7.83,,,,,,,,,,
